,policyID,statecode,county,eq_site_limit,hu_site_limit,fl_site_limit,fr_site_limit,tiv_2011,tiv_2012,eq_site_deductible,hu_site_deductible,fl_site_deductible,fr_site_deductible,point_latitude,point_longitude,line,construction,point_granularity
0,119736,0,0,498960.0,498960.0,498960.0,498960.0,498960.0,792148.9,0.0,9979.2,0.0,0,30.102261,-81.711777,0,0,1
1,448094,0,0,1322376.3,1322376.3,1322376.3,1322376.3,1322376.3,1438163.57,0.0,0.0,0.0,0,30.063935999999998,-81.70766400000001,0,0,3
2,206893,0,0,190724.4,190724.4,190724.4,190724.4,190724.4,192476.78,0.0,0.0,0.0,0,30.089578999999997,-81.700455,0,1,1
3,333743,0,0,0.0,79520.76,0.0,0.0,79520.76,86854.48,0.0,0.0,0.0,0,30.063236,-81.70770300000001,0,1,3
4,172534,0,0,0.0,254281.5,0.0,254281.5,254281.5,246144.49,0.0,0.0,0.0,0,30.060614,-81.702675,0,1,1
5,785275,0,0,0.0,515035.62,0.0,0.0,515035.62,884419.17,0.0,0.0,0.0,0,30.063236,-81.70770300000001,0,0,3
6,995932,0,0,0.0,19260000.0,0.0,0.0,19260000.0,20610000.0,0.0,0.0,0.0,0,30.102226,-81.713882,1,2,1
7,223488,0,0,328500.0,328500.0,328500.0,328500.0,328500.0,348374.25,0.0,16425.0,0.0,0,30.102217,-81.707146,0,1,1
8,433512,0,0,315000.0,315000.0,315000.0,315000.0,315000.0,265821.57,0.0,15750.0,0.0,0,30.118774,-81.704613,0,1,1
9,142071,0,0,705600.0,705600.0,705600.0,705600.0,705600.0,1010842.56,14112.0,35280.0,0.0,0,30.100628000000004,-81.703751,0,0,1
10,253816,0,0,831498.3,831498.3,831498.3,831498.3,831498.3,1117791.48,0.0,0.0,0.0,0,30.102159999999998,-81.719444,0,0,1
11,894922,0,0,0.0,24059.09,0.0,0.0,24059.09,33952.19,0.0,0.0,0.0,0,30.095957000000002,-81.695099,0,1,1
12,422834,0,0,0.0,48115.94,0.0,0.0,48115.94,66755.39,0.0,0.0,0.0,0,30.100073,-81.739822,0,1,1
13,582721,0,0,0.0,28869.12,0.0,0.0,28869.12,42826.99,0.0,0.0,0.0,0,30.09248,-81.725167,0,1,1
14,842700,0,0,0.0,56135.64,0.0,0.0,56135.64,50656.8,0.0,0.0,0.0,0,30.101356,-81.726248,0,1,1
15,874333,0,0,0.0,48115.94,0.0,0.0,48115.94,67905.07,0.0,0.0,0.0,0,30.113743,-81.727463,0,1,1
16,580146,0,0,0.0,48115.94,0.0,0.0,48115.94,66938.9,0.0,0.0,0.0,0,30.121655,-81.732391,0,1,3
17,456149,0,0,0.0,80192.49,0.0,0.0,80192.49,86421.04,0.0,0.0,0.0,0,30.109537,-81.741661,0,1,1
18,767862,0,0,0.0,48115.94,0.0,0.0,48115.94,73798.5,0.0,0.0,0.0,0,30.118240000000004,-81.745335,0,1,3
19,353022,0,0,0.0,60946.79,0.0,0.0,60946.79,62467.29,0.0,0.0,0.0,0,30.065799,-81.717416,0,1,1
20,367814,0,0,0.0,28869.12,0.0,0.0,28869.12,42727.74,0.0,0.0,0.0,0,30.082993,-81.710581,0,1,1
21,671392,0,0,0.0,13410000.0,0.0,0.0,13410000.0,11700000.0,0.0,0.0,0.0,0,30.091921000000003,-81.711929,1,2,3
22,772887,0,0,0.0,1669113.93,0.0,0.0,1669113.93,2099127.76,0.0,0.0,0.0,0,30.117352,-81.711884,0,0,1
23,983122,0,0,0.0,179562.23,0.0,0.0,179562.23,211372.57,0.0,0.0,0.0,0,30.095783,-81.713181,0,1,3
24,934215,0,0,0.0,177744.16,0.0,0.0,177744.16,157171.16,0.0,0.0,0.0,0,30.110518,-81.727478,0,1,1
25,385951,0,0,0.0,17757.58,0.0,0.0,17757.58,16948.72,0.0,0.0,0.0,0,30.10288,-81.70571899999999,0,1,1
26,716332,0,0,0.0,130129.87,0.0,0.0,130129.87,101758.43,0.0,0.0,0.0,0,30.068468,-81.71624,0,1,1
27,751262,0,0,0.0,42854.77,0.0,0.0,42854.77,63592.88,0.0,0.0,0.0,0,30.068468,-81.71624,0,1,1
28,633663,0,0,0.0,785.58,0.0,0.0,785.58,662.18,0.0,0.0,0.0,0,30.068468,-81.71624,0,1,1
29,105851,0,0,0.0,170361.91,0.0,0.0,170361.91,177176.38,0.0,0.0,0.0,0,30.068468,-81.71624,0,1,1
30,710400,0,0,0.0,1430.89,0.0,0.0,1430.89,1861.41,0.0,0.0,0.0,0,30.068468,-81.71624,0,1,1
